model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
220.0,train,True,7.0,3.0,10.0,13.0,3.0,7.0,5.0,11.0,3.0,9.0,9.0,4.0
220.0,train,False,5.0,97.0,125.0,5.0,999.0,999.0,999.0,17.0,3.0,99.0,999.0,4.0
220.0,target,True,7.0,3.0,10.0,5.0,3.0,7.0,7.0,5.0,3.0,9.0,9.0,4.0
220.0,target,False,5.0,999.0,5.0,5.0,999.0,999.0,999.0,17.0,3.0,166.0,999.0,4.0
221.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,5.0,5.0,17.0,9.0,4.0
221.0,train,False,3.0,3.0,3.0,3.0,999.0,999.0,999.0,3.0,5.0,999.0,999.0,999.0
221.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,5.0,3.0,7.0,9.0,4.0
221.0,target,False,5.0,3.0,3.0,3.0,999.0,999.0,999.0,3.0,5.0,16.0,999.0,999.0
222.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
222.0,train,False,7.0,320.0,400.0,3.0,999.0,999.0,999.0,34.0,15.0,11.0,999.0,999.0
222.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
222.0,target,False,7.0,320.0,400.0,3.0,999.0,999.0,999.0,34.0,15.0,11.0,999.0,999.0
223.0,train,True,28.0,3.0,5.0,12.0,3.0,7.0,5.0,15.0,5.0,11.0,9.0,4.0
223.0,train,False,323.0,330.0,3.0,336.0,999.0,999.0,999.0,963.0,999.0,16.0,999.0,999.0
223.0,target,True,27.0,3.0,10.0,9.0,3.0,7.0,7.0,15.0,5.0,11.0,9.0,4.0
223.0,target,False,323.0,427.0,156.0,66.0,999.0,999.0,999.0,5.0,999.0,19.0,999.0,999.0
224.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,7.0,5.0,8.0,9.0,4.0
224.0,train,False,3.0,22.0,3.0,3.0,999.0,999.0,999.0,5.0,999.0,999.0,999.0,999.0
224.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,7.0,5.0,8.0,9.0,4.0
224.0,target,False,3.0,22.0,3.0,3.0,999.0,999.0,999.0,5.0,999.0,999.0,999.0,999.0
225.0,train,True,3.0,3.0,8.0,4.0,3.0,7.0,7.0,10.0,5.0,9.0,9.0,4.0
225.0,train,False,3.0,295.0,8.0,3.0,999.0,999.0,999.0,37.0,9.0,7.0,999.0,999.0
225.0,target,True,3.0,3.0,8.0,4.0,3.0,7.0,7.0,10.0,5.0,9.0,9.0,4.0
