experiment,reply_size,layers,tau,optimizer,advantage,max_steps,activation,batch_size,totalsteps,exploration,vanish,gamma,hidden_size,train_repeat,batch_norm,seed,rwrdschem,svision,nconv,cnnfilter,cnnsize,optimizer_lr,details,tr_count,tr_TR,tr_TT,tr_TS,ts_count,ts_TR,ts_TT,ts_TS,tr_s,ts_s,tr_AR,tr_AS,ts_AR,ts_AS,tr_SMD,tr_SM,tr_RMD,tr_RM,ts_SMD,ts_SM,ts_RMD,ts_RM
852,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,9111,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.0001,CNN subordinate only,2820,899942,149309,2000575,283,10621,1287,253783,0.3900709219858156,0.127208480565371,319.12836879432626,709.4237588652483,37.53003533568904,896.7597173144876,1000.0,859.4432989690722,-99.9999999999986,77.28591065292213,1000.0,898.3166666666667,-99.9999999999986,26.835000000001227
835,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,4444,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,93258,92917999,109016,2000002,9326,9145374,1375,316259,0.9984987883077056,0.9840231610551148,996.3541894529155,21.4459027643741,980.6319965687326,33.91153763671456,10.0,10.89349512025096,999.0,998.9106504879749,9.0,10.119581790459595,999.1,998.988041820954
849,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,4444,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.0001,CNN subordinate only,2732,814938,162290,2000617,274,11170,1249,248292,0.3715226939970717,0.13138686131386862,298.2935578330893,732.2902635431918,40.76642335766423,906.1751824817518,1000.0,883.8289241622575,-99.9999999999986,52.71058201058321,1000.0,876.5344827586207,-99.9999999999986,50.27758620689775
816,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,6654,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.001,CNN subordinate only,2682,775985,346066,2000148,269,5005,1093,249949,0.3639075316927666,0.11152416356877323,289.3307233407904,745.7673378076063,18.605947955390334,929.1784386617101,1000.0,928.6938775510204,-99.9999999999986,29.579591836735915,1000.0,950.8545454545455,-99.9999999999986,-40.539999999998685
844,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,6654,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.0001,CNN subordinate only,2995,1214943,157263,2000561,300,14145,1293,268548,0.4724540901502504,0.13666666666666666,405.65709515859766,667.9669449081803,47.15,895.16,1000.0,823.047697368421,-99.9999999999986,128.22154605263268,1000.0,778.2741935483871,-99.9999999999986,164.1080645161301
828,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,4444,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[5, 3]",0.0001,CNN subordinate only,2803,950921,181325,2000789,281,-4545,1329,265453,0.410631466286122,0.07829181494661921,339.2511594719943,713.8027113806636,-16.17437722419929,944.6725978647687,1000.0,886.2407079646018,-99.9999999999986,61.818407079647194,1000.0,944.4137931034483,-99.9999999999986,-25.47586206896423
851,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,6654,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.0001,CNN subordinate only,2968,1143937,145968,2000628,297,23270,1283,257292,0.4528301886792453,0.16498316498316498,385.4235175202156,674.066037735849,78.35016835016835,866.3030303030303,1000.0,794.0602218700476,-99.9999999999986,132.9553090332816,1000.0,761.8125,-99.9999999999986,173.81875000000105
811,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1122,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,101091,100840999,115562,2000003,10110,10014939,918,240604,0.9995053961282409,0.9929772502472799,997.526970749127,19.78418454659663,990.5973293768546,23.798615232443126,10.0,11.433935513377545,999.0,998.8337388520466,9.0,10.537951531778692,999.1,998.946204846822
846,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1122,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.0001,CNN subordinate only,2848,971981,160879,2000184,285,25441,1277,245589,0.41151685393258425,0.17543859649122806,341.2854634831461,702.311797752809,89.26666666666667,861.7157894736843,1000.0,776.2387596899225,-99.9999999999986,185.942015503877,1000.0,846.2,-99.9999999999986,99.99538461538577
826,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1337,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.001,CNN subordinate only,2645,728983,305503,2000164,265,3433,1034,245665,0.3512287334593573,0.10566037735849057,275.6079395085066,756.2056710775047,12.954716981132075,927.0377358490566,1000.0,921.8747697974218,-99.9999999999986,31.201104972376903,1000.0,938.8181818181819,-99.9999999999986,-2.972727272726013
842,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,4444,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.0001,CNN subordinate only,2811,944938,167140,2000617,282,6210,1191,257895,0.40732835289932406,0.11347517730496454,336.15723941657774,711.7100675916045,22.02127659574468,914.5212765957447,1000.0,822.0492610837439,-99.9999999999986,127.97569786535414,1000.0,882.7258064516129,-99.9999999999986,40.759677419356045
833,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1337,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[5, 3]",0.0001,CNN subordinate only,2780,940969,153464,2000304,279,3844,1173,261557,0.410431654676259,0.10752688172043011,338.47805755395683,719.5338129496403,13.777777777777779,937.4802867383513,1000.0,871.5592334494773,-99.9999999999986,118.41898954703944,1000.0,959.2881355932203,-99.9999999999986,-11.183050847456338
